     Time , Longitude, Earth Longitude, Latitude, XYZ (geodetic) (x) , XYZ (geodetic) (y) , XYZ (geodetic) (z) , Velocity (x) , Velocity (y) , Velocity (z) , TargetXYZ (x) , TargetXYZ (y) , TargetXYZ (z) 
 [s] , rad, rad, rad, m, m, m, m/s, m/s, m/s, m, m, m
0.1, 6.283, 6.283, 5.42e-006, 34.34, -7.197e-005, -35.98, 357.7, -0.009405, 341.9, 1291, 0, -1291
0.2, 6.283, 6.283, 1.079e-005, 68.37, -0.001912, -71.54, 353.5, -0.02864, 338.8, 1282, 0, -1282
0.3, 6.283, 6.283, 1.612e-005, 102.1, -0.004745, -106.7, 349.4, -0.03155, 335.8, 1273, 0, -1273
0.4, 6.283, 6.283, 2.139e-005, 135.5, -0.008477, -141.4, 345.4, -0.04947, 332.9, 1264, 0, -1264
0.5, 6.283, 6.283, 2.663e-005, 168.7, -0.014, -175.8, 341.4, -0.06078, 330, 1255, 0, -1255
0.6, 6.283, 6.283, 3.181e-005, 201.5, -0.02004, -209.7, 337.5, -0.06639, 327.2, 1246, 0, -1246
0.7, 6.283, 6.283, 3.695e-005, 234.1, -0.02749, -243.3, 333.7, -0.0861, 324.4, 1237, 0, -1237
0.8, 6.283, 6.283, 4.205e-005, 266.4, -0.03636, -276.5, 329.9, -0.09221, 321.7, 1228, 0, -1228
0.9, 6.283, 6.283, 4.711e-005, 298.4, -0.04572, -309.3, 326.2, -0.1016, 319, 1219, 0, -1219
1, 6.283, 6.283, 5.212e-005, 330.2, -0.05669, -341.7, 322.5, -0.12, 316.3, 1210, 0, -1210
1.1, 6.283, 6.283, 5.709e-005, 361.7, -0.05827, -373.8, 318.9, 0.01143, 313.7, 1201, 0, -1201
1.2, 6.283, 6.283, 6.202e-005, 393, -0.0565, -405.5, 315.3, 0.02711, 311.2, 1192, 0, -1192
1.3, 6.283, 6.283, 6.692e-005, 423.9, -0.05362, -436.9, 311.8, 0.01369, 308.7, 1183, 0, -1183
1.4, 6.283, 6.283, 7.177e-005, 454.7, -0.05432, -467.9, 308.3, -0.0269, 306.2, 1174, 0, -1174
1.5, 6.283, 6.283, 7.658e-005, 485.2, -0.05279, -498.5, 304.9, 0.05055, 303.8, 1165, 0, -1165
1.6, 6.283, 6.283, 8.136e-005, 515.4, -0.04831, -528.9, 301.6, 0.03435, 301.4, 1156, 0, -1156
1.7, 6.283, 6.283, 8.61e-005, 545.5, -0.04568, -558.9, 298.2, 0.01964, 299.1, 1147, 0, -1147
1.8, 6.283, 6.283, 9.08e-005, 575.2, -0.04397, -588.5, 295, 0.01328, 296.8, 1138, 0, -1138
1.9, 6.283, 6.283, 9.546e-005, 604.8, -0.04314, -617.9, 291.7, -0.002156, 294.5, 1129, 0, -1129
2, 6.283, 6.283, 0.0001001, 634.1, -0.04411, -646.9, 288.5, -0.02034, 292.3, 1120, 0, -1120
2.1, 6.283, 6.283, 0.0001047, 663.2, -0.04638, -675.6, 285.4, -0.02714, 290.1, 1111, 0, -1111
2.2, 6.283, 6.283, 0.0001092, 692.1, -0.03739, -704, 282.3, 0.1203, 287.9, 1102, 0, -1102
2.3, 6.283, 6.283, 0.0001138, 720.8, -0.02843, -732.1, 279.3, 0.06625, 285.8, 1093, 0, -1093
2.4, 6.283, 6.283, 0.0001183, 749.3, -0.02092, -759.9, 276.2, 0.0869, 283.7, 1084, 0, -1084
2.5, 6.283, 6.283, 0.0001227, 777.6, -0.01068, -787.3, 273.3, 0.1023, 281.7, 1075, 0, -1075
2.6, 6.283, 6.283, 0.0001272, 805.6, -0.002721, -814.5, 270.4, 0.04981, 279.6, 1066, 0, -1066
2.7, 6.283, 6.283, 0.0001316, 833.5, 0.0001017, -841.4, 267.5, 0.01631, 277.7, 1057, 0, -1057
2.8, 6.283, 6.283, 0.0001359, 861.1, 0.003106, -868, 264.6, 0.04425, 275.8, 1048, 0, -1048
2.9, 5.769e-010, 6.283, 0.0001403, 888.6, 0.003679, -894.4, 261.8, 0.04768, 273.8, 1039, 0, -1039
3, 9.269e-010, 6.283, 0.0001446, 915.9, 0.005912, -920.4, 259.1, -0.006263, 271.9, 1030, 0, -1030
3.1, 5.104e-010, 6.283, 0.0001488, 943, 0.003255, -946.2, 256.3, -0.03628, 270.1, 1021, 0, -1021
3.2, 1.133e-010, 6.283, 0.0001531, 969.9, 0.0007227, -971.7, 253.6, -0.01018, 268.3, 1012, 0, -1012
3.3, 6.283, 6.283, 0.0001573, 996.6, 0.004692, -996.9, 250.8, -0.02484, 266.6, 1003, 0, -1003
3.312, 6.283, 6.283, 0.0001578, 999.8, 0.004057, -999.9, 250.5, -0.06886, 266.4, 1002, 0, -1002
